open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change,anomaly,anomaly_flag
18013.596414616077,18020.886344344435,17986.36997268815,17995.548030664646,2220,17990.468209359755,92671,406400,319900,16200,17250,0.0,726300,0.0,1,0
18010.040945530487,18024.38076678608,18006.77093761659,18015.762897901284,3130,18021.4101065461,100968,396700,314200,19050,16500,8297.0,710900,-15400.0,1,0
18027.7270699124,18032.386755260228,18008.859872865913,18016.556563856644,3910,18018.17909936933,81432,402700,321700,16350,18750,-19536.0,724400,13500.0,1,0
18069.139990770167,18071.68279336326,18066.05725235764,18069.68145631332,4220,18070.74378892225,119382,406600,312400,17000,17350,37950.0,719000,-5400.0,1,0
18062.97530885651,18065.681867916905,18049.425597247064,18065.4804352473,3340,18065.338753562603,121155,394500,324500,17250,16500,1773.0,719000,0.0,1,0
18056.8131748378,18075.321523972707,18056.140471930063,18069.097753867696,510,18073.38314084133,124688,411500,326300,17650,17200,3533.0,737800,18800.0,1,0
18099.81819943888,18101.671248711977,18078.69769055393,18087.973493798992,2820,18085.747637365657,45639,400600,322500,18900,18350,-79049.0,723100,-14700.0,1,0
18120.84704772016,18127.786229299974,18069.58738204765,18093.48898875298,4180,18096.05358296754,138963,402300,315800,19150,19650,93324.0,718100,-5000.0,1,0
18108.271711357207,18124.568113514582,18102.856440352243,18109.93631011241,3000,18109.055915579655,103321,397600,329800,16300,19250,-35642.0,727400,9300.0,1,0
18123.19617795044,18142.229417999693,18122.749185937537,18139.511686631995,4830,18139.82453472325,100945,391400,318900,18150,17700,-2376.0,710300,-17100.0,1,0
18110.783747801644,18130.45168625252,18104.241707242352,18122.00289253825,3700,18127.55081787432,97962,384100,325500,18550,16850,-2983.0,709600,-700.0,1,0
18098.31705210384,18103.97099548088,18095.011567711423,18100.21429338914,1570,18107.371533676887,73575,392000,324300,16600,17650,-24387.0,716300,6700.0,1,0
18105.06795890738,18111.411075008025,18079.005560724065,18100.61740563142,3250,18102.57532266363,107195,390200,310400,19300,16400,33620.0,700600,-15700.0,1,0
18053.36287775529,18086.065758625515,18051.737433861646,18060.64851631726,2290,18069.50453938868,132238,389000,329000,18750,17500,25043.0,718000,17400.0,1,0
18006.89247163393,18007.831916360683,17995.671056459436,17998.12720076681,2620,17996.474719325084,103080,402500,327200,17500,19800,-29158.0,729700,11700.0,1,0
17991.891216069125,17999.71551619843,17984.37340323473,17996.17650465222,3420,17991.570030883722,77698,391100,314500,19850,18500,-25382.0,705600,-24100.0,1,0
17964.75749486514,17975.92900305227,17954.901847534802,17969.297819280302,1210,17965.687831266187,69493,404500,310100,18150,18500,-8205.0,714600,9000.0,1,0
17973.407289838513,17984.564796023926,17965.614133554827,17982.935082078613,3320,17980.729977936207,94119,397700,322900,19800,17500,24626.0,720600,6000.0,1,0
17949.123014411918,17978.026188892076,17944.659477014782,17973.889753170104,2240,17970.40519164643,85119,394400,326600,19050,19700,-9000.0,721000,400.0,1,0
17911.317955487255,17916.57758299208,17906.155453823078,17914.83229906673,1720,17929.27785557346,114051,409800,310300,19000,16050,28932.0,720100,-900.0,1,0
17950.918332422887,17960.07056612691,17932.81361336991,17946.35015018326,2760,17941.59317869401,127408,397000,316000,19500,16700,13357.0,713000,-7100.0,1,0
17945.01947313484,17946.87105613731,17943.130378306076,17944.79000736969,4390,17953.425554816655,109393,403800,315600,18550,18200,-18015.0,719400,6400.0,1,0
17947.016726889164,17960.137754374242,17927.082690261323,17931.141909461072,4930,17934.592961155155,98298,402000,331300,16300,16650,-11095.0,733300,13900.0,1,0
17908.88180096627,17912.899083405457,17887.378159864857,17902.66103329114,3500,17907.447849305943,97349,398000,319700,18600,16450,-949.0,717700,-15600.0,1,0
17894.44278483318,17903.049897190474,17883.885569112233,17890.780844247354,4770,17889.497736877936,101421,396800,320800,17600,19100,4072.0,717600,-100.0,1,0
17897.59935453952,17899.72032718028,17881.472668573842,17892.909392453224,1320,17898.234963167135,76801,413900,330200,16950,19000,-24620.0,744100,26500.0,-1,1
17866.90464879031,17874.96541214069,17858.905385791455,17868.265703776015,3020,17866.940315044685,112045,397500,315600,16050,16600,35244.0,713100,-31000.0,1,0
17877.155098118954,17879.65135534781,17857.861725319948,17869.803833775462,1950,17878.324689739406,78383,399300,315800,17600,18350,-33662.0,715100,2000.0,1,0
17861.234396535183,17879.742872028506,17849.29722134779,17871.245892292576,1690,17880.21107505426,122323,402400,322800,17200,18650,43940.0,725200,10100.0,1,0
17853.599625427258,17856.444847394698,17839.775232458476,17853.60147385433,1140,17856.44986276666,92735,400800,313000,17400,16200,-29588.0,713800,-11400.0,1,0
17837.671327541026,17846.516107110558,17834.732433750298,17837.58837950517,3300,17840.784710673182,116616,396300,321400,17650,17700,23881.0,717700,3900.0,1,0
17887.47960931194,17893.13992581801,17873.62585085303,17884.54700428413,3320,17890.44563496074,70534,390200,321100,17250,16800,-46082.0,711300,-6400.0,1,0
17887.296338048498,17890.37772608399,17886.098261423296,17888.684308924043,4400,17894.30999296218,116475,400700,321400,16200,18750,45941.0,722100,10800.0,1,0
17859.11804608318,17869.141165033525,17858.268741011256,17866.48580973734,4770,17875.54847589209,127250,397600,313700,18400,16700,10775.0,711300,-10800.0,1,0
