time,open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change
02:21.7,18013.59641,18020.88634,17986.36997,17995.54803,2220,17990.46821,92671,406400,319900,16200,17250,0,726300,0
07:21.7,18010.04095,18024.38077,18006.77094,18015.7629,3130,18021.41011,100968,396700,314200,19050,16500,8297,710900,-15400
12:21.7,18027.72707,18032.38676,18008.85987,18016.55656,3910,18018.1791,81432,402700,321700,16350,18750,-19536,724400,13500
17:21.7,18069.13999,18071.68279,18066.05725,18069.68146,4220,18070.74379,119382,406600,312400,17000,17350,37950,719000,-5400
22:21.7,18062.97531,18065.68187,18049.4256,18065.48044,3340,18065.33875,121155,394500,324500,17250,16500,1773,719000,0
27:21.7,18056.81317,18075.32152,18056.14047,18069.09775,510,18073.38314,124688,411500,326300,17650,17200,3533,737800,18800
32:21.7,18099.8182,18101.67125,18078.69769,18087.97349,2820,18085.74764,45639,400600,322500,18900,18350,-79049,723100,-14700
37:21.7,18120.84705,18127.78623,18069.58738,18093.48899,4180,18096.05358,138963,402300,315800,19150,19650,93324,718100,-5000
42:21.7,18108.27171,18124.56811,18102.85644,18109.93631,3000,18109.05592,103321,397600,329800,16300,19250,-35642,727400,9300
47:21.7,18123.19618,18142.22942,18122.74919,18139.51169,4830,18139.82453,100945,391400,318900,18150,17700,-2376,710300,-17100
52:21.7,18110.78375,18130.45169,18104.24171,18122.00289,3700,18127.55082,97962,384100,325500,18550,16850,-2983,709600,-700
57:21.7,18098.31705,18103.971,18095.01157,18100.21429,1570,18107.37153,73575,392000,324300,16600,17650,-24387,716300,6700
02:21.7,18105.06796,18111.41108,18079.00556,18100.61741,3250,18102.57532,107195,390200,310400,19300,16400,33620,700600,-15700
07:21.7,18053.36288,18086.06576,18051.73743,18060.64852,2290,18069.50454,132238,389000,329000,18750,17500,25043,718000,17400
12:21.7,18006.89247,18007.83192,17995.67106,17998.1272,2620,17996.47472,103080,402500,327200,17500,19800,-29158,729700,11700
17:21.7,17991.89122,17999.71552,17984.3734,17996.1765,3420,17991.57003,77698,391100,314500,19850,18500,-25382,705600,-24100
22:21.7,17964.75749,17975.929,17954.90185,17969.29782,1210,17965.68783,69493,404500,310100,18150,18500,-8205,714600,9000
27:21.7,17973.40729,17984.5648,17965.61413,17982.93508,3320,17980.72998,94119,397700,322900,19800,17500,24626,720600,6000
