time,open,high,low,close,volume,fut_close,fut_oi,total_call_oi,total_put_oi,max_call_strike,max_put_strike,fut_oi_change,total_opt_oi,total_opt_oi_change,ret,logret,rv_30,atr14,ema5,ema15,mom30,put_call_ratio_oi,total_oi,total_oi_change,opt_skew_proxy,vol_60
43:46.4,18013.59641,18020.88634,17986.36997,17995.54803,2220,17990.46821,92671,406400,319900,16200,17250,0,726300,0,0,0,0.004125901,0,17995.54803,17995.54803,-0.008777707,0.787155512,726300,0,-1050,0.00132069
48:46.4,18010.04095,18024.38077,18006.77094,18015.7629,3130,18021.41011,100968,396700,314200,19050,16500,8297,710900,-15400,0.001123326,0.001122696,0.004125901,0,18002.28632,17998.07489,-0.008777707,0.792034283,710900,-15400,2550,0.00132069
53:46.4,18027.72707,18032.38676,18008.85987,18016.55656,3910,18018.1791,81432,402700,321700,16350,18750,-19536,724400,13500,4.41E-05,4.41E-05,0.004125901,0,18007.04307,18000.3851,-0.008777707,0.79885771,724400,13500,-2400,0.00132069
58:46.4,18069.13999,18071.68279,18066.05725,18069.68146,4220,18070.74379,119382,406600,312400,17000,17350,37950,719000,-5400,0.002948671,0.002944332,0.004125901,0,18027.92253,18009.04714,-0.008777707,0.768322676,719000,-5400,-350,0.00132069
03:46.4,18062.97531,18065.68187,18049.4256,18065.48044,3340,18065.33875,121155,394500,324500,17250,16500,1773,719000,0,-0.00023249,-0.000232517,0.004125901,0,18040.44183,18016.1013,-0.008777707,0.822560203,719000,0,750,0.00132069
08:46.4,18056.81317,18075.32152,18056.14047,18069.09775,510,18073.38314,124688,411500,326300,17650,17200,3533,737800,18800,0.000200234,0.000200214,0.003762603,0,18049.99381,18022.72586,-0.008777707,0.792952612,737800,18800,450,0.001204399
13:46.4,18099.8182,18101.67125,18078.69769,18087.97349,2820,18085.74764,45639,400600,322500,18900,18350,-79049,723100,-14700,0.001044642,0.001044097,0.003461602,0,18062.6537,18030.88181,-0.008777707,0.805042436,723100,-14700,550,0.00110805
18:46.4,18120.84705,18127.78623,18069.58738,18093.48899,4180,18096.05358,138963,402300,315800,19150,19650,93324,718100,-5000,0.000304926,0.00030488,0.003239331,0,18072.93213,18038.70771,-0.008777707,0.784986329,718100,-5000,-500,0.001036901
23:46.4,18108.27171,18124.56811,18102.85644,18109.93631,3000,18109.05592,103321,397600,329800,16300,19250,-35642,727400,9300,0.000909019,0.000908606,0.003039579,0,18085.26686,18047.61129,-0.008777707,0.829476861,727400,9300,-2950,0.000972961
28:46.4,18123.19618,18142.22942,18122.74919,18139.51169,4830,18139.82453,100945,391400,318900,18150,17700,-2376,710300,-17100,0.001633102,0.00163177,0.003008734,0,18103.34847,18059.09884,-0.008777707,0.814767501,710300,-17100,450,0.000963088
33:46.4,18110.78375,18130.45169,18104.24171,18122.00289,3700,18127.55082,97962,384100,325500,18550,16850,-2983,709600,-700,-0.00096523,-0.000965696,0.00330203,0,18109.56661,18066.96184,-0.008777707,0.847435564,709600,-700,1700,0.001056971
38:46.4,18098.31705,18103.971,18095.01157,18100.21429,1570,18107.37153,73575,392000,324300,16600,17650,-24387,716300,6700,-0.001202328,-0.001203052,0.003558739,0,18106.44917,18071.1184,-0.008777707,0.827295918,716300,6700,-1050,0.001139143
43:46.4,18105.06796,18111.41108,18079.00556,18100.61741,3250,18102.57532,107195,390200,310400,19300,16400,33620,700600,-15700,2.23E-05,2.23E-05,0.003430568,0,18104.50525,18074.80578,-0.008777707,0.795489493,700600,-15700,2900,0.001098116
48:46.4,18053.36288,18086.06576,18051.73743,18060.64852,2290,18069.50454,132238,389000,329000,18750,17500,25043,718000,17400,-0.002208151,-0.002210592,0.003973683,34.22360684,18089.88634,18073.03612,-0.008777707,0.845758355,718000,17400,1250,0.001271966
53:46.4,18006.89247,18007.83192,17995.67106,17998.1272,2620,17996.47472,103080,402500,327200,17500,19800,-29158,729700,11700,-0.003461743,-0.003467748,0.004867618,36.42031063,18059.29996,18063.6725,-0.008777707,0.812919255,729700,11700,-2300,0.001558112
58:46.4,17991.89122,17999.71552,17984.3734,17996.1765,3420,17991.57003,77698,391100,314500,19850,18500,-25382,705600,-24100,-0.000108383,-0.000108389,0.004703468,34.91472508,18038.25881,18055.2355,-0.008777707,0.804142163,705600,-24100,1350,0.001505568
03:46.4,17964.75749,17975.929,17954.90185,17969.29782,1210,17965.68783,69493,404500,310100,18150,18500,-8205,714600,9000,-0.001493578,-0.001494694,0.004693218,35.36900594,18015.27181,18044.49329,-0.008777707,0.766625464,714600,9000,-350,0.001502287
08:46.4,17973.40729,17984.5648,17965.61413,17982.93508,3320,17980.72998,94119,397700,322900,19800,17500,24626,720600,6000,0.00075892,0.000758632,0.004595359,34.19626712,18004.4929,18036.79852,-0.008777707,0.811918532,720600,6000,2300,0.001470962
13:46.4,17949.12301,17978.02619,17944.65948,17973.88975,2240,17970.40519,85119,394400,326600,19050,19700,-9000,721000,400,-0.000502995,-0.000503122,0.00447826,34.4876484,17994.29185,18028.93492,-0.008777707,0.828093306,721000,400,-650,0.001433479
18:46.4,17911.31796,17916.57758,17906.15545,17914.8323,1720,17929.27786,114051,409800,310300,19000,16050,28932,720100,-900,-0.003285736,-0.003291146,0.004907477,36.86240919,17967.80533,18014.67209,-0.008777707,0.757198633,720100,-900,2950,0.001570871
23:46.4,17950.91833,17960.07057,17932.81361,17946.35015,2760,17941.59318,127408,397000,316000,19500,16700,13357,713000,-7100,0.001759316,0.00175777,0.004970497,37.46068475,17960.65361,18006.13185,-0.008777707,0.795969773,713000,-7100,2800,0.001591043
28:46.4,17945.01947,17946.87106,17943.13038,17944.79001,4390,17953.42555,109393,403800,315600,18550,18200,-18015,719400,6400,-8.69E-05,-8.69E-05,0.004850795,35.05211283,17955.36574,17998.46412,-0.008777707,0.781575037,719400,6400,350,0.001552727
33:46.4,17947.01673,17960.13775,17927.08269,17931.14191,4930,17934.59296,98298,402000,331300,16300,16650,-11095,733300,13900,-0.00076056,-0.00076085,0.004757141,34.90946649,17947.29113,17990.04884,-0.008777707,0.824129353,733300,13900,-350,0.001522748
38:46.4,17908.8818,17912.89908,17887.37816,17902.66103,3500,17907.44785,97349,398000,319700,18600,16450,-949,717700,-15600,-0.001588347,-0.00158961,0.004741557,35.54191528,17932.41443,17979.12537,-0.008777707,0.803266332,717700,-15600,2150,0.00151776
43:46.4,17894.44278,17903.0499,17883.88557,17890.78084,4770,17889.49774,101421,396800,320800,17600,19100,4072,717600,-100,-0.000663599,-0.000663819,0.004650163,34.37208762,17918.53657,17968.0823,-0.008777707,0.808467742,717600,-100,-1500,0.001488505
48:46.4,17897.59935,17899.72033,17881.47267,17892.90939,1320,17898.23496,76801,413900,330200,16950,19000,-24620,744100,26500,0.000118975,0.000118968,0.004561327,33.22034269,17909.99418,17958.68569,-0.008777707,0.797777241,744100,26500,-2050,0.001460069
53:46.4,17866.90465,17874.96541,17858.90539,17868.2657,3020,17866.94032,112045,397500,315600,16050,16600,35244,713100,-31000,-0.001377288,-0.001378237,0.004526633,33.27631869,17896.08469,17947.38319,-0.008777707,0.793962264,713100,-31000,-550,0.001448963
58:46.4,17877.1551,17879.65136,17857.86173,17869.80383,1950,17878.32469,78383,399300,315800,17600,18350,-33662,715100,2000,8.61E-05,8.61E-05,0.004446791,32.45584093,17887.3244,17937.68577,-0.008777707,0.790884047,715100,2000,-750,0.001423406
03:46.4,17861.2344,17879.74287,17849.29722,17871.24589,1690,17880.21108,122323,402400,322800,17200,18650,43940,725200,10100,8.07E-05,8.07E-05,0.004370885,32.31225591,17881.9649,17929.38079,-0.008777707,0.802186879,725200,10100,-1450,0.001399109
08:46.4,17853.59963,17856.44485,17839.77523,17853.60147,1140,17856.44986,92735,400800,313000,17400,16200,-29588,713800,-11400,-0.000987308,-0.000987795,0.004316046,32.25214191,17872.51042,17919.90837,-0.008777707,0.780938124,713800,-11400,1200,0.001381555
13:46.4,17837.67133,17846.51611,17834.73243,17837.58838,3300,17840.78471,116616,396300,321400,17650,17700,23881,717700,3900,-0.000896911,-0.000897314,0.004327905,31.29620606,17860.86974,17909.61837,-0.008777707,0.811001766,717700,3900,-50,0.001363089
18:46.4,17887.47961,17893.13993,17873.62585,17884.547,3320,17890.44563,70534,390200,321100,17250,16800,-46082,711300,-6400,0.002632566,0.002629107,0.004572235,33.02873037,17868.76216,17906.48445,-0.007283394,0.822911328,711300,-6400,450,0.001436434
23:46.4,17887.29634,17890.37773,17886.09826,17888.68431,4400,17894.30999,116475,400700,321400,16200,18750,45941,722100,10800,0.000231334,0.000231307,0.004577445,31.08601547,17875.40288,17904.25943,-0.007097486,0.802096331,722100,10800,-2550,0.001415743
28:46.4,17859.11805,17869.14117,17858.26874,17866.48581,4770,17875.54848,127250,397600,313700,18400,16700,10775,711300,-10800,-0.001240924,-0.001241695,0.004205812,31.03812636,17872.43052,17899.53773,-0.011245115,0.788983903,711300,-10800,1700,0.001405956
33:46.4,17881.34535,17891.97789,17870.61633,17873.59262,1550,17882.50714,74368,394400,319900,19950,17100,-52882,714300,3000,0.000397773,0.000397694,0.004228396,30.64197992,17872.81789,17896.29459,-0.010621794,0.811105477,714300,3000,2850,0.001388951
38:46.4,17848.80831,17858.2145,17840.16587,17842.93501,4620,17846.34922,97729,392700,323100,16150,16400,23361,715800,1500,-0.001715246,-0.001716719,0.004284527,30.84089221,17862.85693,17889.62464,-0.012516549,0.82276547,715800,1500,-250,0.001392282
43:46.4,17854.57968,17859.68615,17838.05265,17851.86823,3490,17852.8828,106697,390700,322500,18750,18600,8968,713200,-2600,0.000500659,0.000500533,0.004232929,30.18322068,17859.19403,17884.90509,-0.013053163,0.825441515,713200,-2600,150,0.001378146
48:46.4,17802.35113,17808.62405,17788.02071,17790.3713,1560,17798.26108,107677,399700,316400,16150,16550,980,716100,2900,-0.003444845,-0.003450793,0.004541868,32.58781369,17836.25312,17873.08837,-0.01675286,0.791593695,716100,2900,-400,0.001457123
53:46.4,17767.09686,17780.75607,17759.46078,17759.81894,850,17762.53823,93208,407900,320700,16750,17250,-14469,728600,12500,-0.001717354,-0.00171883,0.004502401,32.46800697,17810.77506,17858.92969,-0.019332888,0.786222113,728600,12500,-500,0.001455618
58:46.4,17772.52184,17773.8095,17761.66812,17768.29002,1960,17772.44998,89683,405700,311300,17450,16450,-3525,717000,-11600,0.00047698,0.000476866,0.004351004,31.14818895,17796.61338,17847.59973,-0.020464811,0.767315751,717000,-11600,1000,0.001442601
03:46.4,17792.39729,17804.14497,17791.56529,17800.17603,3110,17806.56798,105065,394400,307800,18900,18750,15382,702200,-14800,0.001794546,0.001792938,0.004570956,31.4843863,17797.80093,17841.67177,-0.017758901,0.780425963,702200,-14800,150,0.001462097
08:46.4,17797.14943,17800.49277,17795.7016,17799.48585,4580,17808.25507,107051,389200,324200,17400,19100,1986,713400,11200,-3.88E-05,-3.88E-05,0.004567265,29.57772825,17798.36257,17836.39853,-0.016614635,0.83299075,713400,11200,-1700,0.001444583
