,fut_close,fut_oi
2025-10-24 07:02:21.737199,17990.468209359755,92671
2025-10-24 07:07:21.737199,18021.4101065461,100968
2025-10-24 07:12:21.737199,18018.17909936933,81432
2025-10-24 07:17:21.737199,18070.74378892225,119382
2025-10-24 07:22:21.737199,18065.338753562603,121155
2025-10-24 07:27:21.737199,18073.383140841335,124688
2025-10-24 07:32:21.737199,18085.747637365657,45639
2025-10-24 07:37:21.737199,18096.05358296754,138963
2025-10-24 07:42:21.737199,18109.055915579658,103321
2025-10-24 07:47:21.737199,18139.82453472325,100945
2025-10-24 07:52:21.737199,18127.55081787432,97962
2025-10-24 07:57:21.737199,18107.371533676887,73575
2025-10-24 08:02:21.737199,18102.57532266363,107195
2025-10-24 08:07:21.737199,18069.504539388676,132238
2025-10-24 08:12:21.737199,17996.474719325084,103080
2025-10-24 08:17:21.737199,17991.570030883722,77698
2025-10-24 08:22:21.737199,17965.687831266187,69493
2025-10-24 08:27:21.737199,17980.729977936207,94119
2025-10-24 08:32:21.737199,17970.40519164643,85119
2025-10-24 08:37:21.737199,17929.27785557346,114051
2025-10-24 08:42:21.737199,17941.59317869401,127408
2025-10-24 08:47:21.737199,17953.425554816655,109393
2025-10-24 08:52:21.737199,17934.592961155155,98298
2025-10-24 08:57:21.737199,17907.447849305943,97349
2025-10-24 09:02:21.737199,17889.497736877936,101421
2025-10-24 09:07:21.737199,17898.234963167135,76801
2025-10-24 09:12:21.737199,17866.940315044685,112045
2025-10-24 09:17:21.737199,17878.324689739406,78383
2025-10-24 09:22:21.737199,17880.21107505426,122323
2025-10-24 09:27:21.737199,17856.44986276666,92735
2025-10-24 09:32:21.737199,17840.784710673182,116616
2025-10-24 09:37:21.737199,17890.44563496074,70534
2025-10-24 09:42:21.737199,17894.30999296218,116475
2025-10-24 09:47:21.737199,17875.54847589209,127250
2025-10-24 09:52:21.737199,17882.507142188868,74368
2025-10-24 09:57:21.737199,17846.34921655133,97729
2025-10-24 10:02:21.737199,17852.88279826911,106697
2025-10-24 10:07:21.737199,17798.2610810806,107677
2025-10-24 10:12:21.737199,17762.538225259006,93208
2025-10-24 10:17:21.737199,17772.449983992727,89683
2025-10-24 10:22:21.737199,17806.56798068488,105065
2025-10-24 10:27:21.737199,17808.255068814233,107051
2025-10-24 10:32:21.737199,17800.91451931064,87451
2025-10-24 10:37:21.737199,17794.374548579326,83499
2025-10-24 10:42:21.737199,17759.05507262112,124227
2025-10-24 10:47:21.737199,17743.330900750385,102153
2025-10-24 10:52:21.737199,17713.333227534316,54565
2025-10-24 10:57:21.737199,17745.45605056562,124350
2025-10-24 11:02:21.737199,17747.9239543274,88057
2025-10-24 11:07:21.737199,17693.46786558858,101334
2025-10-24 11:12:21.737199,17727.91401935745,107497
2025-10-24 11:17:21.737199,17719.202801904692,70326
2025-10-24 11:22:21.737199,17700.591977942524,94223
2025-10-24 11:27:21.737199,17712.465356894165,126351
2025-10-24 11:32:21.737199,17755.512454899803,121787
2025-10-24 11:37:21.737199,17765.652257465812,94192
2025-10-24 11:42:21.737199,17735.667116618653,114316
2025-10-24 11:47:21.737199,17713.604405417496,116950
2025-10-24 11:52:21.737199,17741.962833633967,115930
2025-10-24 11:57:21.737199,17767.81951667363,77079
2025-10-24 12:02:21.737199,17767.990525284873,132823
2025-10-24 12:07:21.737199,17748.374364623487,90723
2025-10-24 12:12:21.737199,17705.062470925877,102186
2025-10-24 12:17:21.737199,17682.934187613104,92974
2025-10-24 12:22:21.737199,17712.398477890903,104595
2025-10-24 12:27:21.737199,17728.792233957753,82714
2025-10-24 12:32:21.737199,17723.704496110975,95497
2025-10-24 12:37:21.737199,17767.612259274818,103655
2025-10-24 12:42:21.737199,17778.869676146966,124492
2025-10-24 12:47:21.737199,17761.167710302656,122078
2025-10-24 12:52:21.737199,17779.610139945682,123091
2025-10-24 12:57:21.737199,17807.61960251486,117373
2025-10-24 13:02:21.737199,17832.591638473055,136933
2025-10-24 13:07:21.737199,17856.335088411906,94197
2025-10-24 13:12:21.737199,17783.389662648362,96844
2025-10-24 13:17:21.737199,17808.143641803577,96021
2025-10-24 13:22:21.737199,17785.98561097903,98777
2025-10-24 13:27:21.737199,17816.23630714425,71275
2025-10-24 13:32:21.737199,17797.48818615122,105295
2025-10-24 13:37:21.737199,17765.67764620749,109921
2025-10-24 13:42:21.737199,17736.11723915873,94851
2025-10-24 13:47:21.737199,17734.17243786559,64853
2025-10-24 13:52:21.737199,17797.134742554408,100428
2025-10-24 13:57:21.737199,17786.538033889326,74105
2025-10-24 14:02:21.737199,17742.778978579463,108546
2025-10-24 14:07:21.737199,17743.036815147505,102386
2025-10-24 14:12:21.737199,17774.091986083487,104347
2025-10-24 14:17:21.737199,17766.60931319388,78779
