timestamp,total_call_oi,total_put_oi,max_call_strike,max_put_strike
2025-10-24 07:02:21.737199,406400,319900,16200,17250
2025-10-24 07:07:21.737199,396700,314200,19050,16500
2025-10-24 07:12:21.737199,402700,321700,16350,18750
2025-10-24 07:17:21.737199,406600,312400,17000,17350
2025-10-24 07:22:21.737199,394500,324500,17250,16500
2025-10-24 07:27:21.737199,411500,326300,17650,17200
2025-10-24 07:32:21.737199,400600,322500,18900,18350
2025-10-24 07:37:21.737199,402300,315800,19150,19650
2025-10-24 07:42:21.737199,397600,329800,16300,19250
2025-10-24 07:47:21.737199,391400,318900,18150,17700
2025-10-24 07:52:21.737199,384100,325500,18550,16850
2025-10-24 07:57:21.737199,392000,324300,16600,17650
2025-10-24 08:02:21.737199,390200,310400,19300,16400
2025-10-24 08:07:21.737199,389000,329000,18750,17500
2025-10-24 08:12:21.737199,402500,327200,17500,19800
2025-10-24 08:17:21.737199,391100,314500,19850,18500
2025-10-24 08:22:21.737199,404500,310100,18150,18500
2025-10-24 08:27:21.737199,397700,322900,19800,17500
2025-10-24 08:32:21.737199,394400,326600,19050,19700
2025-10-24 08:37:21.737199,409800,310300,19000,16050
2025-10-24 08:42:21.737199,397000,316000,19500,16700
2025-10-24 08:47:21.737199,403800,315600,18550,18200
2025-10-24 08:52:21.737199,402000,331300,16300,16650
2025-10-24 08:57:21.737199,398000,319700,18600,16450
2025-10-24 09:02:21.737199,396800,320800,17600,19100
2025-10-24 09:07:21.737199,413900,330200,16950,19000
2025-10-24 09:12:21.737199,397500,315600,16050,16600
2025-10-24 09:17:21.737199,399300,315800,17600,18350
2025-10-24 09:22:21.737199,402400,322800,17200,18650
2025-10-24 09:27:21.737199,400800,313000,17400,16200
2025-10-24 09:32:21.737199,396300,321400,17650,17700
2025-10-24 09:37:21.737199,390200,321100,17250,16800
2025-10-24 09:42:21.737199,400700,321400,16200,18750
2025-10-24 09:47:21.737199,397600,313700,18400,16700
2025-10-24 09:52:21.737199,394400,319900,19950,17100
2025-10-24 09:57:21.737199,392700,323100,16150,16400
2025-10-24 10:02:21.737199,390700,322500,18750,18600
2025-10-24 10:07:21.737199,399700,316400,16150,16550
2025-10-24 10:12:21.737199,407900,320700,16750,17250
2025-10-24 10:17:21.737199,405700,311300,17450,16450
