,open,high,low,close,volume
2025-10-24 07:02:21.737199,18013.596414616077,18020.886344344435,17986.36997268815,17995.548030664646,2220
2025-10-24 07:07:21.737199,18010.040945530487,18024.38076678608,18006.77093761659,18015.762897901284,3130
2025-10-24 07:12:21.737199,18027.727069912402,18032.386755260228,18008.859872865913,18016.556563856644,3910
2025-10-24 07:17:21.737199,18069.139990770167,18071.68279336326,18066.057252357637,18069.681456313316,4220
2025-10-24 07:22:21.737199,18062.97530885651,18065.681867916905,18049.425597247064,18065.4804352473,3340
2025-10-24 07:27:21.737199,18056.813174837796,18075.321523972707,18056.140471930063,18069.097753867696,510
2025-10-24 07:32:21.737199,18099.81819943888,18101.671248711977,18078.697690553934,18087.973493798992,2820
2025-10-24 07:37:21.737199,18120.84704772016,18127.786229299978,18069.58738204765,18093.48898875298,4180
2025-10-24 07:42:21.737199,18108.271711357207,18124.568113514586,18102.856440352243,18109.93631011241,3000
2025-10-24 07:47:21.737199,18123.196177950438,18142.229417999693,18122.749185937537,18139.511686631995,4830
2025-10-24 07:52:21.737199,18110.783747801644,18130.45168625252,18104.241707242352,18122.00289253825,3700
2025-10-24 07:57:21.737199,18098.31705210384,18103.970995480882,18095.011567711423,18100.21429338914,1570
2025-10-24 08:02:21.737199,18105.06795890738,18111.411075008025,18079.005560724065,18100.61740563142,3250
2025-10-24 08:07:21.737199,18053.362877755295,18086.065758625515,18051.737433861646,18060.64851631726,2290
2025-10-24 08:12:21.737199,18006.89247163393,18007.831916360683,17995.671056459436,17998.12720076681,2620
2025-10-24 08:17:21.737199,17991.891216069125,17999.71551619843,17984.37340323473,17996.17650465222,3420
2025-10-24 08:22:21.737199,17964.75749486514,17975.92900305227,17954.901847534802,17969.297819280302,1210
2025-10-24 08:27:21.737199,17973.407289838513,17984.564796023926,17965.614133554827,17982.935082078613,3320
2025-10-24 08:32:21.737199,17949.123014411918,17978.026188892076,17944.659477014782,17973.889753170104,2240
2025-10-24 08:37:21.737199,17911.317955487255,17916.57758299208,17906.155453823078,17914.83229906673,1720
2025-10-24 08:42:21.737199,17950.918332422887,17960.07056612691,17932.81361336991,17946.35015018326,2760
2025-10-24 08:47:21.737199,17945.01947313484,17946.87105613731,17943.130378306076,17944.79000736969,4390
2025-10-24 08:52:21.737199,17947.016726889164,17960.137754374242,17927.082690261323,17931.141909461072,4930
2025-10-24 08:57:21.737199,17908.88180096627,17912.899083405457,17887.378159864857,17902.66103329114,3500
2025-10-24 09:02:21.737199,17894.44278483318,17903.049897190474,17883.885569112233,17890.780844247354,4770
2025-10-24 09:07:21.737199,17897.59935453952,17899.72032718028,17881.472668573842,17892.909392453224,1320
2025-10-24 09:12:21.737199,17866.90464879031,17874.96541214069,17858.905385791455,17868.265703776015,3020
2025-10-24 09:17:21.737199,17877.155098118954,17879.65135534781,17857.861725319948,17869.803833775462,1950
2025-10-24 09:22:21.737199,17861.234396535183,17879.742872028506,17849.29722134779,17871.245892292576,1690
2025-10-24 09:27:21.737199,17853.599625427258,17856.444847394698,17839.775232458476,17853.60147385433,1140
2025-10-24 09:32:21.737199,17837.671327541026,17846.516107110558,17834.732433750298,17837.58837950517,3300
2025-10-24 09:37:21.737199,17887.47960931194,17893.13992581801,17873.62585085303,17884.54700428413,3320
2025-10-24 09:42:21.737199,17887.296338048498,17890.37772608399,17886.098261423296,17888.684308924043,4400
2025-10-24 09:47:21.737199,17859.11804608318,17869.141165033525,17858.268741011256,17866.48580973734,4770
2025-10-24 09:52:21.737199,17881.34534777515,17891.977885978566,17870.616330985733,17873.592620350842,1550
2025-10-24 09:57:21.737199,17848.808309133838,17858.21450412904,17840.165868460877,17842.935011604546,4620
2025-10-24 10:02:21.737199,17854.57967950038,17859.686145336927,17838.052654495517,17851.868229209616,3490
2025-10-24 10:07:21.737199,17802.351134986766,17808.62404651954,17788.020706424348,17790.371301605745,1560
2025-10-24 10:12:21.737199,17767.096860325048,17780.756069329786,17759.46078198008,17759.81894345142,850
2025-10-24 10:17:21.737199,17772.521838320907,17773.809498219005,17761.668122627692,17768.290015383438,1960
2025-10-24 10:22:21.737199,17792.39728899424,17804.144967141303,17791.565285391996,17800.17602883846,3110
2025-10-24 10:27:21.737199,17797.149426286273,17800.492768871245,17795.701595241757,17799.485847889177,4580
2025-10-24 10:32:21.737199,17794.24032092243,17799.193718907027,17786.489211851494,17795.96271362572,2080
2025-10-24 10:37:21.737199,17786.383131257793,17811.810623672853,17785.741458700657,17793.950329838157,3140
2025-10-24 10:42:21.737199,17747.157973457055,17750.604000688327,17739.388637611548,17745.938994042146,2510
2025-10-24 10:47:21.737199,17728.18281301611,17734.35349376461,17718.048151690517,17731.64392913691,4700
2025-10-24 10:52:21.737199,17716.11477171264,17721.72777743327,17714.425619962396,17715.200427501695,2040
2025-10-24 10:57:21.737199,17744.406647325693,17752.95638742043,17742.339042876578,17746.76099604401,620
2025-10-24 11:02:21.737199,17753.732495198117,17768.633865746877,17742.187116798512,17748.55942453987,3460
2025-10-24 11:07:21.737199,17707.02077701421,17723.9455064885,17680.230438589308,17685.428683967744,4330
2025-10-24 11:12:21.737199,17715.80786916334,17727.42206490102,17712.575845647585,17714.618437244277,3710
2025-10-24 11:17:21.737199,17705.754815145894,17720.337511021262,17695.72077781978,17718.35022997664,1340
2025-10-24 11:22:21.737199,17687.962695690356,17703.75980062517,17684.867976879523,17696.154127431866,3290
2025-10-24 11:27:21.737199,17704.376147065435,17713.628785897145,17696.450301757344,17712.922027164754,2940
2025-10-24 11:32:21.737199,17731.954453096463,17753.02347783916,17722.531216458876,17742.913959925034,3490
2025-10-24 11:37:21.737199,17756.91945538857,17761.145928296402,17736.163145900857,17757.706598239478,4110
2025-10-24 11:42:21.737199,17734.75798842642,17746.250506379667,17727.12533164388,17736.507661585496,4030
2025-10-24 11:47:21.737199,17726.711451999086,17739.301886807476,17716.50357147121,17721.236983535015,3650
2025-10-24 11:52:21.737199,17735.69931376755,17736.705643074198,17726.452807735393,17732.89642719968,580
2025-10-24 11:57:21.737199,17761.848891911042,17769.285758841997,17752.604256541843,17767.317508968157,4350
2025-10-24 12:02:21.737199,17749.26444000512,17770.913036804715,17738.035736961225,17759.948471620377,2960
2025-10-24 12:07:21.737199,17744.499606920803,17753.655371614655,17738.998816247287,17743.262404728797,3610
2025-10-24 12:12:21.737199,17715.254138017342,17720.52877431162,17703.53565926392,17711.266529398818,4630
2025-10-24 12:17:21.737199,17683.672817848605,17688.893240286427,17681.842693972627,17683.677485974447,3270
2025-10-24 12:22:21.737199,17705.415671726798,17711.908387837382,17696.28830619453,17710.73797942402,2870
2025-10-24 12:27:21.737199,17741.64894037209,17742.290114386902,17721.55109746496,17728.84075773774,2520
2025-10-24 12:32:21.737199,17739.91007463466,17753.216975091695,17712.127598110357,17719.543052822788,2960
2025-10-24 12:37:21.737199,17766.811725663356,17773.730451215735,17757.019110579327,17761.92108338688,2840
2025-10-24 12:42:21.737199,17776.62978429933,17788.638545609345,17762.723122981035,17765.779707865044,1300
2025-10-24 12:47:21.737199,17759.613617349725,17767.48282389991,17754.085196276752,17755.101430562896,4050
2025-10-24 12:52:21.737199,17769.42129008777,17769.97782460725,17766.79563323337,17768.108304716043,620
2025-10-24 12:57:21.737199,17810.641750456274,17812.806842866627,17799.82267227099,17806.60542793774,3760
2025-10-24 13:02:21.737199,17809.862746788458,17825.418982709318,17807.989442079157,17822.796870505004,650
2025-10-24 13:07:21.737199,17851.88948688447,17866.916759181888,17838.22980512406,17854.805992598518,940
2025-10-24 13:12:21.737199,17782.05385954467,17786.506992955816,17775.135797849918,17784.725385167676,3700
